Date,ticker,exit_state,exit_flag,triggers,rank,horizon,fwd_return
2023-03-09,KLBF.JK,EXIT,1,D1,10,90D,-0.011205733224484371
2023-03-14,KLBF.JK,EXIT,1,D1,10,90D,-0.0013220048451975108
2023-03-17,KLBF.JK,HEALTHY,0,,10,90D,-0.07814838906870847
2023-03-27,KLBF.JK,EXIT,1,D1,10,90D,-0.015774295447675613
2023-03-29,KLBF.JK,HEALTHY,0,,10,90D,-0.0651399595915052
2023-04-13,KLBF.JK,EXIT,1,D1,10,90D,-0.04202260670142022
2023-04-18,KLBF.JK,EXIT,1,D1,10,90D,-0.11281304145859217
2023-05-02,KLBF.JK,EXIT,1,D1,10,90D,-0.087586955005442
2023-05-08,KLBF.JK,EXIT,1,D1,10,90D,-0.10304554018630518
2023-05-11,KLBF.JK,HEALTHY,0,,10,90D,-0.1180687888662092
2023-05-29,KLBF.JK,HEALTHY,0,,10,90D,-0.154028466237765
2023-06-13,KLBF.JK,EXIT,1,D1,10,90D,-0.15144233834696363
2023-06-19,KLBF.JK,EXIT,1,D1,10,90D,-0.12318843659984746
2023-06-26,KLBF.JK,HEALTHY,0,,10,90D,-0.1521739438462243
2023-07-03,KLBF.JK,EXIT,1,D1,10,90D,-0.1113861140805189
